Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag","Chlamydia trachomatis infection, Cum 2018†","Chlamydia trachomatis infection, Cum 2018†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chancroid, Cum 2018†","Chancroid, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
US TERRITORIES,2019,43,,-,0,,,-,,NN,,-,304,,3636,,5281,,,-,0,,,-,,-,,US TERRITORIES,20194363
AMERICAN SAMOA,2019,43,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20194364
NORTHERN MARIANA ISLANDS,2019,43,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194365
GUAM,2019,43,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194366
PUERTO RICO,2019,43,,-,0,,,-,,NN,,-,304,,3636,,5004,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194367
U.S. VIRGIN ISLANDS,2019,43,,-,0,,,-,,NN,,-,0,,,-,277,,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194368
NON-US RESIDENTS,2019,43,,-,,NC,,-,,NN,,-,,NC,4,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194369
TOTAL,2019,43,1,,12,,204,,,NN,11851,,36518,,1265173,,1464060,,,-,1,,7,,3,,,TOTAL,20194370
US RESIDENTS,2019,44,1,,12,,206,,,NN,10735,,36388,,1290831,,1493882,,,-,1,,7,,3,,,US RESIDENTS,20194401
NEW ENGLAND,2019,44,,-,0,,,-,,NN,677,,1381,,38240,,50989,,,-,1,,2,,,-,,NEW ENGLAND,20194402
CONNECTICUT,2019,44,,-,0,,,-,,NN,,-,339,,,-,12585,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194403
MAINE,2019,44,,-,0,,,-,,NN,,-,126,,3108,,3705,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194404
MASSACHUSETTS,2019,44,,-,0,,,-,,NN,461,,723,,26786,,25727,,,-,1,,2,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20194405
NEW HAMPSHIRE,2019,44,,-,0,,,-,,NN,62,,124,,3041,,3181,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194406
RHODE ISLAND,2019,44,,-,0,,,-,,NN,134,,529,,4425,,4337,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20194407
VERMONT,2019,44,,-,0,,,-,,NN,20,,46,,880,,1454,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194408
MIDDLE ATLANTIC,2019,44,,-,0,,,-,,NN,3133,,4830,,186245,,184306,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194409
NEW JERSEY,2019,44,,-,0,,,-,,NN,265,,948,,31896,,31083,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194410
NEW YORK,2019,44,,-,0,,,-,,NN,1013,,1090,,39812,,40517,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194411
NEW YORK CITY,2019,44,,-,0,,,-,,NN,967,,1677,,64092,,62119,,,-,0,,,-,,-,,NEW YORK CITY,20194412
PENNSYLVANIA,2019,44,,-,0,,,-,,NN,888,,1379,,50445,,50587,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20194413
EAST NORTH CENTRAL,2019,44,1,,7,,124,,,NN,1661,,5661,,196141,,215333,,,-,1,,1,,,-,,EAST NORTH CENTRAL,20194414
ILLINOIS,2019,44,,-,0,,,-,,NN,90,,1676,,48742,,65495,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20194415
INDIANA,2019,44,,-,0,,,-,,NN,350,,997,,28500,,29189,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20194416
MICHIGAN,2019,44,1,,7,,124,,,NN,164,,1103,,39345,,43308,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20194417
OHIO,2019,44,,-,0,,,-,,NN,710,,1502,,55197,,53536,,,-,1,,1,,,-,"OHIO
(40.415534, -82.70936)",,20194418
WISCONSIN,2019,44,,-,0,,,-,,NN,347,,685,,24357,,23805,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20194419
WEST NORTH CENTRAL,2019,44,,-,0,,,-,,NN,128,,2251,,77143,,87701,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20194420
IOWA,2019,44,,-,0,,,-,,NN,70,,341,,10744,,12435,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194421
KANSAS,2019,44,,-,0,,,-,,NN,,-,339,,7605,,12050,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194422
MINNESOTA,2019,44,,-,0,,,-,,NN,13,,560,,19843,,20039,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20194423
MISSOURI,2019,44,,-,0,,,-,,NN,,-,784,,24673,,29573,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20194424
NEBRASKA,2019,44,,-,0,,,-,,NN,,-,239,,7399,,6812,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20194425
NORTH DAKOTA,2019,44,,-,0,,,-,,NN,1,,98,,3153,,3003,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20194426
SOUTH DAKOTA,2019,44,,-,0,,,-,,NN,44,,109,,3726,,3789,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194427
SOUTH ATLANTIC,2019,44,,-,0,,,-,,NN,2580,,8299,,276934,,313203,,,-,0,,,-,1,,,SOUTH ATLANTIC,20194428
DELAWARE,2019,44,,-,0,,,-,,NN,129,,230,,5031,,5101,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20194429
DISTRICT OF COLUMBIA,2019,44,,-,0,,,-,,NN,68,,217,,7565,,7770,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194430
FLORIDA,2019,44,,-,0,,,-,,NN,1533,,2495,,92568,,88538,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20194431
GEORGIA,2019,44,,-,0,,,-,,NN,,-,1670,,52763,,56479,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194432
MARYLAND,2019,44,,-,0,,,-,,NN,,-,821,,28548,,30299,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20194433
NORTH CAROLINA,2019,44,,-,0,,,-,,NN,,-,1505,,33331,,56553,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20194434
SOUTH CAROLINA,2019,44,,-,0,,,-,,NN,,-,979,,13507,,28739,,,-,0,,,-,1,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194435
VIRGINIA,2019,44,,-,0,,,-,,NN,850,,1258,,39124,,36694,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20194436
WEST VIRGINIA,2019,44,,-,0,,,-,,NN,,-,354,,4497,,3030,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20194437
EAST SOUTH CENTRAL,2019,44,,-,0,,,-,,NN,130,,5951,,87858,,86523,,,-,1,,2,,,-,,EAST SOUTH CENTRAL,20194438
ALABAMA,2019,44,,-,0,,,-,,NN,,-,973,,26856,,23542,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20194439
KENTUCKY,2019,44,,-,0,,,-,,NN,,-,4788,,13129,,11440,,,-,1,,2,,,-,"KENTUCKY
(37.526683, -85.290484)",,20194440
MISSISSIPPI,2019,44,,-,0,,,-,,NN,,-,556,,16673,,18854,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20194441
TENNESSEE,2019,44,,-,0,,,-,,NN,130,,952,,31200,,32687,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20194442
WEST SOUTH CENTRAL,2019,44,,-,0,,,-,,NN,249,,4394,,88120,,193213,,,-,0,,,-,1,,,WEST SOUTH CENTRAL,20194443
ARKANSAS,2019,44,,-,0,,,-,,NN,,-,417,,8249,,15068,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20194444
LOUISIANA,2019,44,,-,0,,,-,,NN,237,,876,,29059,,31491,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20194445
OKLAHOMA,2019,44,,-,0,,,-,,NN,,-,462,,14096,,18862,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20194446
TEXAS,2019,44,,-,0,,,-,,NN,12,,2893,,36716,,127792,,,-,0,,,-,1,,"TEXAS
(31.447238, -99.317341)",,20194447
MOUNTAIN,2019,44,,-,6,,77,,,NN,894,,2918,,105121,,106877,,,-,1,,1,,,-,,MOUNTAIN,20194448
ARIZONA,2019,44,,-,5,,62,,,NN,366,,953,,35033,,34881,,,-,1,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20194449
COLORADO,2019,44,,-,0,,,-,,NN,,-,1076,,25047,,24678,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20194450
IDAHO,2019,44,,-,0,,,-,,NN,106,,170,,5742,,5436,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194451
MONTANA,2019,44,,-,0,,,-,,NN,21,,121,,3943,,4165,,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20194452
NEVADA,2019,44,,-,1,,5,,,NN,205,,372,,12960,,15010,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194453
NEW MEXICO,2019,44,,-,0,,,-,,NN,39,,331,,11456,,11931,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20194454
UTAH,2019,44,,-,2,,10,,,NN,134,,276,,9318,,8960,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20194455
WYOMING,2019,44,,-,0,,,-,,NN,23,,58,,1622,,1816,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194456
PACIFIC,2019,44,,-,1,,5,,,NN,1283,,6399,,235029,,255737,,,-,1,,1,,1,,,PACIFIC,20194457
ALASKA,2019,44,,-,0,,,-,,NN,,-,152,,4700,,5219,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20194458
CALIFORNIA,2019,44,,-,0,,,-,,NN,450,,5244,,192496,,197792,,,-,0,,,-,1,,"CALIFORNIA
(37.211164, -119.662127)",,20194459
HAWAII,2019,44,,-,1,,5,,,NN,,-,181,,,-,6584,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194460
OREGON,2019,44,,-,0,,,-,,NN,347,,485,,16204,,16269,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194461
WASHINGTON,2019,44,,-,0,,,-,,NN,486,,771,,21629,,29873,,,-,1,,1,,,-,"WASHINGTON
(47.411715, -120.592492)",,20194462
US TERRITORIES,2019,44,,-,0,,,-,,NN,,-,304,,3636,,5450,,,-,0,,,-,,-,,US TERRITORIES,20194463
AMERICAN SAMOA,2019,44,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20194464
NORTHERN MARIANA ISLANDS,2019,44,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194465
GUAM,2019,44,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194466
PUERTO RICO,2019,44,,-,0,,,-,,NN,,-,304,,3636,,5173,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194467
U.S. VIRGIN ISLANDS,2019,44,,-,0,,,-,,NN,,-,0,,,-,277,,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194468
NON-US RESIDENTS,2019,44,,-,,NC,,-,,NN,,-,,NC,4,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194469
TOTAL,2019,44,1,,12,,206,,,NN,10735,,36518,,1294471,,1499332,,,-,1,,7,,3,,,TOTAL,20194470
US RESIDENTS,2019,45,,-,12,,211,,,NN,11842,,36388,,1327638,,1529312,,,-,1,,7,,3,,,US RESIDENTS,20194501
NEW ENGLAND,2019,45,,-,0,,,-,,NN,549,,1381,,38995,,52169,,,-,1,,2,,,-,,NEW ENGLAND,20194502
CONNECTICUT,2019,45,,-,0,,,-,,NN,,-,339,,,-,12863,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194503
MAINE,2019,45,,-,0,,,-,,NN,,-,126,,3108,,3807,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194504
MASSACHUSETTS,2019,45,,-,0,,,-,,NN,467,,723,,27458,,26348,,,-,1,,2,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20194505
NEW HAMPSHIRE,2019,45,,-,0,,,-,,NN,70,,124,,3111,,3249,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194506
RHODE ISLAND,2019,45,,-,0,,,-,,NN,,-,529,,4425,,4420,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20194507
VERMONT,2019,45,,-,0,,,-,,NN,12,,46,,893,,1482,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194508
MIDDLE ATLANTIC,2019,45,,-,0,,,-,,NN,3450,,4830,,191005,,188549,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194509
NEW JERSEY,2019,45,,-,0,,,-,,NN,541,,948,,32859,,31770,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194510
NEW YORK,2019,45,,-,0,,,-,,NN,1015,,1084,,40808,,41521,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194511
NEW YORK CITY,2019,45,,-,0,,,-,,NN,940,,1677,,65563,,63527,,,-,0,,,-,,-,,NEW YORK CITY,20194512
PENNSYLVANIA,2019,45,,-,0,,,-,,NN,954,,1379,,51775,,51731,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20194513
EAST NORTH CENTRAL,2019,45,,-,7,,128,,,NN,1529,,5661,,200452,,220501,,,-,1,,1,,,-,,EAST NORTH CENTRAL,20194514
ILLINOIS,2019,45,,-,0,,,-,,NN,60,,1676,,49684,,67036,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20194515
INDIANA,2019,45,,-,0,,,-,,NN,331,,997,,29233,,29868,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20194516
MICHIGAN,2019,45,,-,7,,128,,,NN,151,,1102,,40225,,44345,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20194517
OHIO,2019,45,,-,0,,,-,,NN,625,,1502,,56385,,54907,,,-,1,,1,,,-,"OHIO
(40.415534, -82.70936)",,20194518
WISCONSIN,2019,45,,-,0,,,-,,NN,362,,685,,24925,,24345,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20194519
WEST NORTH CENTRAL,2019,45,,-,0,,,-,,NN,673,,2251,,83575,,89926,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20194520
IOWA,2019,45,,-,0,,,-,,NN,73,,361,,11141,,12776,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194521
KANSAS,2019,45,,-,0,,,-,,NN,,-,339,,7605,,12389,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194522
MINNESOTA,2019,45,,-,0,,,-,,NN,7,,560,,20248,,20528,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20194523
MISSOURI,2019,45,,-,0,,,-,,NN,435,,790,,29775,,30272,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20194524
NEBRASKA,2019,45,,-,0,,,-,,NN,120,,238,,7819,,7020,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20194525
NORTH DAKOTA,2019,45,,-,0,,,-,,NN,9,,98,,3171,,3076,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20194526
SOUTH DAKOTA,2019,45,,-,0,,,-,,NN,29,,109,,3816,,3865,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194527
SOUTH ATLANTIC,2019,45,,-,0,,,-,,NN,3117,,8300,,284995,,320435,,,-,0,,,-,1,,,SOUTH ATLANTIC,20194528
DELAWARE,2019,45,,-,0,,,-,,NN,149,,203,,5180,,5148,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20194529
DISTRICT OF COLUMBIA,2019,45,,-,0,,,-,,NN,53,,217,,7723,,7924,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194530
FLORIDA,2019,45,,-,0,,,-,,NN,1415,,2495,,94685,,90622,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20194531
GEORGIA,2019,45,,-,0,,,-,,NN,469,,1670,,55921,,57746,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20194532
MARYLAND,2019,45,,-,0,,,-,,NN,90,,821,,30086,,30971,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20194533
NORTH CAROLINA,2019,45,,-,0,,,-,,NN,,-,1505,,33331,,58002,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20194534
SOUTH CAROLINA,2019,45,,-,0,,,-,,NN,,-,979,,13507,,29409,,,-,0,,,-,1,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194535
VIRGINIA,2019,45,,-,0,,,-,,NN,941,,1104,,40065,,37526,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20194536
WEST VIRGINIA,2019,45,,-,0,,,-,,NN,,-,354,,4497,,3087,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20194537
EAST SOUTH CENTRAL,2019,45,,-,0,,,-,,NN,134,,5951,,88832,,88830,,,-,1,,2,,,-,,EAST SOUTH CENTRAL,20194538
ALABAMA,2019,45,,-,0,,,-,,NN,,-,973,,26856,,24104,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20194539
KENTUCKY,2019,45,,-,0,,,-,,NN,,-,4788,,13129,,12010,,,-,1,,2,,,-,"KENTUCKY
(37.526683, -85.290484)",,20194540
MISSISSIPPI,2019,45,,-,0,,,-,,NN,134,,556,,17647,,19301,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20194541
TENNESSEE,2019,45,,-,0,,,-,,NN,,-,952,,31200,,33415,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20194542
WEST SOUTH CENTRAL,2019,45,,-,0,,,-,,NN,350,,4394,,90684,,197607,,,-,0,,,-,1,,,WEST SOUTH CENTRAL,20194543
ARKANSAS,2019,45,,-,0,,,-,,NN,,-,417,,8529,,15436,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20194544
LOUISIANA,2019,45,,-,0,,,-,,NN,278,,876,,29648,,32194,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20194545
OKLAHOMA,2019,45,,-,0,,,-,,NN,58,,462,,14472,,19292,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20194546
TEXAS,2019,45,,-,0,,,-,,NN,14,,2893,,38035,,130685,,,-,0,,,-,1,,"TEXAS
(31.447238, -99.317341)",,20194547
MOUNTAIN,2019,45,,-,6,,78,,,NN,710,,2919,,107342,,109421,,,-,1,,1,,,-,,MOUNTAIN,20194548
ARIZONA,2019,45,,-,5,,63,,,NN,168,,953,,35726,,35730,,,-,1,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20194549
COLORADO,2019,45,,-,0,,,-,,NN,285,,1076,,25976,,25290,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20194550
IDAHO,2019,45,,-,0,,,-,,NN,20,,170,,5762,,5594,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20194551
MONTANA,2019,45,,-,0,,,-,,NN,81,,121,,4103,,4248,,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20194552
NEVADA,2019,45,,-,1,,5,,,NN,100,,372,,13142,,15333,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20194553
NEW MEXICO,2019,45,,-,0,,,-,,NN,24,,331,,11658,,12212,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20194554
UTAH,2019,45,,-,2,,10,,,NN,,-,276,,9318,,9154,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20194555
WYOMING,2019,45,,-,0,,,-,,NN,32,,58,,1657,,1860,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20194556
PACIFIC,2019,45,,-,1,,5,,,NN,1330,,6399,,241758,,261874,,,-,1,,1,,1,,,PACIFIC,20194557
ALASKA,2019,45,,-,0,,,-,,NN,,-,152,,4700,,5344,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20194558
CALIFORNIA,2019,45,,-,0,,,-,,NN,416,,5244,,198311,,202580,,,-,0,,,-,1,,"CALIFORNIA
(37.211164, -119.662127)",,20194559
HAWAII,2019,45,,-,1,,5,,,NN,,-,181,,,-,6746,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20194560
OREGON,2019,45,,-,0,,,-,,NN,416,,485,,16620,,16620,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20194561
WASHINGTON,2019,45,,-,0,,,-,,NN,498,,771,,22127,,30584,,,-,1,,1,,,-,"WASHINGTON
(47.411715, -120.592492)",,20194562
US TERRITORIES,2019,45,,-,0,,,-,,NN,,-,304,,3636,,5570,,,-,0,,,-,,-,,US TERRITORIES,20194563
AMERICAN SAMOA,2019,45,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20194564
NORTHERN MARIANA ISLANDS,2019,45,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194565
GUAM,2019,45,,-,0,,,-,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194566
PUERTO RICO,2019,45,,-,0,,,-,,NN,,-,304,,3636,,5293,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194567
U.S. VIRGIN ISLANDS,2019,45,,-,0,,,-,,NN,,-,0,,,-,277,,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194568
NON-US RESIDENTS,2019,45,,-,,NC,,-,,NN,,-,,NC,4,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194569
TOTAL,2019,45,,-,12,,211,,,NN,11842,,36518,,1331278,,1534882,,,-,1,,7,,3,,,TOTAL,20194570
US RESIDENTS,2019,46,,-,12,,211,,,NN,10024,,36388,,1364752,,1562964,,,-,1,,6,,3,,,US RESIDENTS,20194601
NEW ENGLAND,2019,46,,-,0,,,-,,NN,136,,1381,,39460,,53325,,,-,1,,2,,,-,,NEW ENGLAND,20194602
CONNECTICUT,2019,46,,-,0,,,-,,NN,,-,339,,,-,13159,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20194603
MAINE,2019,46,,-,0,,,-,,NN,56,,126,,3343,,3876,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194604
MASSACHUSETTS,2019,46,,-,0,,,-,,NN,,-,723,,27458,,26970,,,-,1,,2,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20194605
NEW HAMPSHIRE,2019,46,,-,0,,,-,,NN,80,,124,,3194,,3325,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194606
RHODE ISLAND,2019,46,,-,0,,,-,,NN,,-,529,,4572,,4485,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20194607
VERMONT,2019,46,,-,0,,,-,,NN,,-,46,,893,,1510,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20194608
MIDDLE ATLANTIC,2019,46,,-,0,,,-,,NN,3393,,4820,,195316,,192499,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194609
NEW JERSEY,2019,46,,-,0,,,-,,NN,397,,939,,33296,,32440,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20194610
NEW YORK,2019,46,,-,0,,,-,,NN,986,,1082,,41709,,42408,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194611
NEW YORK CITY,2019,46,,-,0,,,-,,NN,932,,1677,,67103,,64805,,,-,0,,,-,,-,,NEW YORK CITY,20194612
PENNSYLVANIA,2019,46,,-,0,,,-,,NN,1078,,1379,,53208,,52846,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20194613
EAST NORTH CENTRAL,2019,46,,-,7,,128,,,NN,1435,,5661,,204081,,225488,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20194614
ILLINOIS,2019,46,,-,0,,,-,,NN,61,,1676,,50414,,68651,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20194615
INDIANA,2019,46,,-,0,,,-,,NN,319,,997,,29881,,30531,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20194616
MICHIGAN,2019,46,,-,7,,128,,,NN,122,,1107,,40916,,45233,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20194617
OHIO,2019,46,,-,0,,,-,,NN,637,,1502,,57473,,56169,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20194618
WISCONSIN,2019,46,,-,0,,,-,,NN,296,,685,,25397,,24904,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20194619
WEST NORTH CENTRAL,2019,46,,-,0,,,-,,NN,518,,2251,,84983,,92024,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20194620
IOWA,2019,46,,-,0,,,-,,NN,38,,361,,11328,,13112,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20194621
KANSAS,2019,46,,-,0,,,-,,NN,,-,329,,7605,,12694,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20194622
