Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2018","Chlamydia trachomatis infection, Cum 2018, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2018","Coccidioidomycosis, Cum 2018, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag",Location 1,Location 2
E.N. CENTRAL,2018,10,514,,4742,,5290,,30803,,47742,,,-,1,,4,,7,,13,,,
MAINE,2018,10,,-,1,,117,,,-,1041,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
C.N.M.I.,2018,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALABAMA,2018,10,,-,553,,954,,3995,,5981,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2018,10,109,,101,,155,,935,,1086,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2018,10,848,,587,,2152,,3015,,6108,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2018,10,311,,429,,738,,2660,,1890,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
S. ATLANTIC,2018,10,4155,,6866,,8450,,50942,,64110,,,-,0,,2,,,-,1,,,
NEW YORK CITY,2018,10,803,,1421,,1598,,13143,,14075,,,N,0,,0,,,N,,N,,
MARYLAND,2018,10,606,,623,,1247,,4803,,4036,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2018,10,,-,120,,180,,1105,,357,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MID. ATLANTIC,2018,10,2790,,4090,,4509,,38253,,46017,,,-,0,,0,,,-,,-,,
MINNESOTA,2018,10,15,,451,,554,,1618,,4635,,,-,1,,5,,16,,9,,"MINNESOTA
(46.357661, -94.793397)",
W.S. CENTRAL,2018,10,836,,4136,,4917,,25595,,41308,,1,,0,,3,,5,,1,,,
VIRGIN ISL.,2018,10,,-,10,,21,,,-,102,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
AMER. SAMOA,2018,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
NORTH DAKOTA,2018,10,,-,61,,78,,387,,573,,,-,0,,1,,,-,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2018,10,185,,4273,,4753,,36836,,42373,,10,,94,,153,,443,,855,,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2018,10,211,,966,,1178,,6326,,9800,,,-,0,,2,,3,,6,,"MICHIGAN
(44.66399, -84.711206)",
E.S. CENTRAL,2018,10,517,,1991,,2771,,12343,,19164,,,-,0,,1,,,-,1,,,
UTAH,2018,10,143,,192,,468,,1842,,2022,,,-,0,,4,,,-,8,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2018,10,206,,676,,843,,5688,,7326,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2018,10,,-,1176,,1317,,9378,,11965,,,-,0,,4,,4,,5,,"OHIO
(40.056807, -82.405897)",
W.N. CENTRAL,2018,10,531,,1891,,2237,,14543,,18986,,,-,2,,6,,20,,14,,,
RHODE ISLAND,2018,10,,-,87,,537,,234,,374,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2018,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
ARKANSAS,2018,10,,-,215,,915,,9,,1921,,,-,0,,2,,3,,1,,"ARKANSAS
(34.748745, -92.275105)",
KANSAS,2018,10,123,,265,,314,,2300,,2593,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2018,10,102,,245,,464,,1499,,2505,,,-,0,,3,,7,,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2018,10,814,,777,,1605,,7800,,7155,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2018,10,,-,43,,79,,385,,326,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2018,10,57,,261,,338,,2304,,2629,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
VERMONT,2018,10,,-,21,,41,,,-,380,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2018,10,261,,686,,846,,6504,,6884,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
HAWAII,2018,10,,-,132,,169,,968,,1376,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
INDIANA,2018,10,237,,648,,891,,5631,,6434,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2018,10,66,,1378,,1624,,5654,,13991,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
WEST VIRGINIA,2018,10,,-,70,,148,,,-,1308,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2018,10,,-,781,,1628,,4166,,5525,,182,,130,,318,,2103,,1115,,"ARIZONA
(34.869712, -111.760902)",
NEBRASKA,2018,10,58,,164,,233,,1186,,1562,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2018,10,89,,93,,154,,985,,1054,,,-,0,,3,,1,,3,,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2018,10,,-,581,,677,,4769,,5411,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2018,10,,-,492,,790,,4010,,5169,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2018,10,942,,891,,1688,,8206,,7419,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
PACIFIC,2018,10,1127,,5341,,5934,,46559,,53097,,10,,94,,153,,444,,857,,,
WISCONSIN,2018,10,,-,542,,639,,3814,,5552,,,-,0,,1,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
NORTH CAROLINA,2018,10,,-,1217,,1337,,5831,,12318,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2018,10,,-,71,,153,,,-,1471,,,-,0,,0,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UNITED STATES,2018,10,10804,,32425,,35445,,238145,,321561,,193,,246,,426,,2591,,2037,,,
LOUISIANA,2018,10,569,,673,,914,,5148,,5885,,1,,0,,1,,2,,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH DAKOTA,2018,10,12,,79,,102,,660,,887,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2018,10,408,,368,,545,,3900,,3404,,,-,0,,2,,1,,2,,"OREGON
(44.567912, -120.156945)",
CONNECTICUT,2018,10,,-,176,,643,,,-,2423,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
FLORIDA,2018,10,1202,,2030,,2409,,17792,,17910,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2018,10,266,,632,,830,,6088,,6107,,,-,0,,2,,3,,3,,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2018,11,,-,79,,102,,660,,960,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
W.S. CENTRAL,2018,11,4014,,4136,,4939,,31061,,45563,,,-,0,,3,,5,,1,,,
VIRGINIA,2018,11,681,,792,,1605,,8479,,7815,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2018,11,988,,891,,1698,,9194,,8278,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
VIRGIN ISL.,2018,11,,-,11,,21,,,-,120,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2018,11,146,,167,,426,,1987,,1514,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
S. ATLANTIC,2018,11,3272,,6866,,8451,,56096,,70310,,,-,0,,2,,,-,1,,,
GEORGIA,2018,11,,-,1192,,1395,,8925,,14212,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2018,11,78,,88,,537,,474,,425,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2018,11,,-,119,,180,,1105,,483,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
COLORADO,2018,11,445,,490,,821,,4946,,5563,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
INDIANA,2018,11,329,,647,,891,,6368,,7075,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2018,11,1313,,665,,914,,6455,,6485,,,-,0,,1,,2,,,-,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2018,11,89,,192,,496,,2018,,2242,,,-,0,,4,,,-,11,,"UTAH
(39.359772, -111.584173)",
OKLAHOMA,2018,11,57,,325,,405,,2581,,3652,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2018,11,,-,132,,169,,968,,1497,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2018,11,,-,164,,233,,1186,,1751,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
AMER. SAMOA,2018,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
FLORIDA,2018,11,1126,,2030,,2409,,19674,,19585,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
CALIFORNIA,2018,11,303,,4269,,4748,,40988,,46518,,34,,91,,138,,489,,888,,"CALIFORNIA
(37.640735, -121.002435)",
W.N. CENTRAL,2018,11,496,,1891,,2238,,15717,,20847,,,-,2,,6,,20,,18,,,
C.N.M.I.,2018,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH CAROLINA,2018,11,768,,594,,2152,,3812,,6725,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALABAMA,2018,11,,-,550,,954,,3995,,6575,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
TENNESSEE,2018,11,248,,664,,843,,5936,,7861,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2018,11,103,,265,,314,,2515,,2843,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2018,11,107,,101,,155,,1042,,1193,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2018,11,252,,429,,738,,2911,,1939,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
TEXAS,2018,11,2632,,2824,,3523,,22001,,33154,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
NEVADA,2018,11,,-,297,,408,,147,,3365,,,-,3,,10,,5,,28,,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2018,11,703,,781,,1628,,5007,,6511,,154,,134,,318,,2210,,1208,,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2018,11,372,,684,,846,,7171,,7434,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
MID. ATLANTIC,2018,11,3224,,4079,,4509,,42556,,49682,,,-,0,,0,,,-,,-,,
ARKANSAS,2018,11,12,,215,,925,,24,,2272,,,-,0,,2,,3,,1,,"ARKANSAS
(34.748745, -92.275105)",
UNITED STATES,2018,11,16158,,32509,,35701,,268871,,353969,,188,,241,,426,,2746,,2176,,,
E.S. CENTRAL,2018,11,500,,1991,,2771,,12842,,20626,,,-,0,,1,,,-,1,,,
CONNECTICUT,2018,11,,-,156,,643,,,-,2623,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2018,11,294,,971,,1178,,7168,,10673,,,-,0,,2,,3,,6,,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2018,11,,-,258,,338,,2304,,2839,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NORTH DAKOTA,2018,11,,-,62,,78,,541,,606,,,-,0,,1,,,-,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
MOUNTAIN,2018,11,1408,,2320,,3082,,16385,,22477,,154,,140,,321,,2223,,1251,,,
MAINE,2018,11,124,,89,,116,,780,,1121,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
MONTANA,2018,11,81,,93,,154,,1096,,1138,,,-,0,,3,,1,,3,,"MONTANA
(47.062617, -109.430168)",
MINNESOTA,2018,11,27,,451,,555,,1691,,5133,,,-,1,,5,,16,,11,,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2018,11,326,,602,,838,,5117,,7144,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2018,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
PACIFIC,2018,11,967,,5511,,6001,,51375,,60104,,34,,91,,138,,490,,890,,,
NEW ENGLAND,2018,11,525,,1023,,1702,,7159,,12063,,,-,0,,1,,1,,1,,,
PUERTO RICO,2018,11,,-,99,,243,,896,,1763,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2018,11,36,,43,,79,,462,,361,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NEW YORK CITY,2018,11,942,,1421,,1598,,14631,,15330,,,N,0,,0,,,N,,N,,
NEW HAMPSHIRE,2018,11,,-,69,,153,,,-,1624,,,-,0,,1,,1,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2018,11,366,,633,,830,,6820,,6715,,,-,0,,2,,3,,5,,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2018,11,73,,1365,,1623,,6882,,15343,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2018,11,338,,372,,545,,4238,,3814,,,-,0,,2,,1,,2,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2018,11,425,,534,,639,,4580,,6082,,,-,0,,1,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2018,11,323,,580,,677,,5905,,5873,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2018,11,922,,1097,,1274,,11560,,18640,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2018,11,54,,242,,465,,1604,,2814,,,-,0,,3,,7,,,-,"NEW MEXICO
(34.520396, -106.244402)",
E.N. CENTRAL,2018,11,1752,,4743,,5302,,35680,,52297,,,-,1,,4,,7,,13,,,
MARYLAND,2018,11,443,,632,,1247,,5497,,4339,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2018,11,,-,20,,41,,,-,397,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2018,11,,-,69,,114,,,-,1397,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
KENTUCKY,2018,11,,-,350,,464,,,-,4251,,,-,0,,1,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2018,11,,-,104,,155,,64,,1131,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2018,11,1,,1217,,1337,,6680,,13530,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2018,11,631,,1176,,1317,,10682,,13124,,,-,0,,4,,4,,5,,"OHIO
(40.056807, -82.405897)",
C.N.M.I.,2018,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEVADA,2018,12,,-,297,,408,,195,,3655,,,-,3,,10,,6,,30,,"NEVADA
(39.491833, -117.070159)",
FLORIDA,2018,12,1212,,2030,,2409,,21780,,21453,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2018,12,683,,772,,1630,,5908,,7321,,165,,139,,318,,2367,,1294,,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2018,12,921,,671,,1307,,7360,,7156,,,-,0,,2,,4,,,-,"LOUISIANA
(31.2931, -92.463284)",
E.N. CENTRAL,2018,12,1685,,4742,,5314,,40669,,57034,,,-,1,,4,,7,,14,,,
MISSISSIPPI,2018,12,620,,429,,738,,3543,,2296,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2018,12,972,,895,,1699,,10166,,9262,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2018,12,,-,20,,41,,,-,427,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2018,12,,-,79,,102,,660,,1046,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2018,12,403,,582,,677,,6602,,6474,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW MEXICO,2018,12,59,,242,,465,,1791,,3023,,,-,0,,3,,9,,1,,"NEW MEXICO
(34.520396, -106.244402)",
S. ATLANTIC,2018,12,3618,,6895,,8451,,63135,,77212,,,-,0,,2,,,-,1,,,
WEST VIRGINIA,2018,12,,-,69,,114,,,-,1485,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSOURI,2018,12,364,,637,,830,,7644,,7268,,,-,0,,2,,4,,6,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2018,12,,-,99,,243,,1110,,1841,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2018,12,,-,103,,155,,64,,1271,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
UTAH,2018,12,,-,191,,496,,2018,,2445,,,-,0,,4,,,-,14,,"UTAH
(39.359772, -111.584173)",
IDAHO,2018,12,,-,117,,180,,1105,,595,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
HAWAII,2018,12,,-,132,,169,,968,,1591,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
IOWA,2018,12,1,,261,,338,,2605,,3107,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
INDIANA,2018,12,350,,647,,891,,7051,,7712,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
COLORADO,2018,12,,-,490,,821,,4946,,6101,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2018,12,2,,234,,930,,28,,2510,,,-,0,,2,,3,,1,,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2018,12,21,,450,,555,,2189,,5572,,1,,1,,5,,19,,12,,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2018,12,536,,2832,,3722,,25015,,36074,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2018,12,109,,101,,155,,1151,,1289,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK CITY,2018,12,828,,1421,,1599,,16006,,16787,,,N,0,,0,,,N,,N,,
MAINE,2018,12,62,,90,,129,,847,,1194,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2018,12,242,,684,,846,,7721,,8073,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2018,12,346,,4272,,4750,,45428,,50764,,17,,104,,176,,729,,962,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2018,12,107,,1369,,1623,,8454,,16721,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2018,12,90,,167,,426,,2124,,1761,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PENNSYLVANIA,2018,12,778,,1097,,1275,,12524,,19814,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
KENTUCKY,2018,12,,-,350,,464,,,-,4638,,,-,0,,1,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
MID. ATLANTIC,2018,12,2820,,4091,,4510,,46417,,53936,,,-,0,,0,,,-,,-,,
CONNECTICUT,2018,12,,-,150,,643,,,-,2933,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2018,12,661,,594,,2152,,4502,,7228,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW ENGLAND,2018,12,508,,1023,,1705,,7967,,13231,,,-,0,,1,,1,,1,,,
WASHINGTON,2018,12,502,,599,,838,,5619,,7811,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NORTH DAKOTA,2018,12,43,,63,,79,,675,,656,,,-,0,,1,,,-,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
MARYLAND,2018,12,432,,633,,1247,,6205,,4839,,,-,0,,2,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
AMER. SAMOA,2018,12,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
OREGON,2018,12,384,,368,,545,,4621,,4202,,1,,0,,2,,3,,2,,"OREGON
(44.567912, -120.156945)",
MOUNTAIN,2018,12,854,,2294,,3085,,17667,,24784,,165,,144,,321,,2383,,1344,,,
W.N. CENTRAL,2018,12,639,,1891,,2238,,18082,,22607,,1,,2,,6,,24,,20,,,
OHIO,2018,12,646,,1177,,1317,,11903,,14359,,,-,0,,4,,4,,5,,"OHIO
(40.056807, -82.405897)",
GUAM,2018,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2018,12,102,,265,,314,,2743,,3032,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
VIRGIN ISL.,2018,12,,-,10,,21,,,-,138,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
E.S. CENTRAL,2018,12,952,,1991,,2771,,13806,,22744,,,-,0,,1,,,-,1,,,
ALABAMA,2018,12,,-,547,,954,,3995,,7190,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
OKLAHOMA,2018,12,54,,325,,405,,2821,,4021,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2018,12,13821,,32594,,35720,,299667,,386948,,184,,254,,447,,3154,,2346,,,
W.S. CENTRAL,2018,12,1513,,4170,,5223,,35224,,49761,,,-,0,,3,,7,,1,,,
NORTH CAROLINA,2018,12,2,,1217,,1337,,8094,,14772,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2018,12,647,,792,,1605,,9125,,8904,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2018,12,108,,165,,233,,1566,,1926,,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2018,12,379,,542,,639,,5236,,6597,,,-,0,,1,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2018,12,332,,664,,843,,6268,,8620,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
MICHIGAN,2018,12,203,,973,,1178,,8025,,11645,,,-,0,,2,,3,,7,,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2018,12,33,,43,,79,,510,,410,,,-,0,,2,,,-,2,,"WYOMING
(43.23558, -108.110518)",
NEW HAMPSHIRE,2018,12,,-,67,,136,,,-,1705,,,-,0,,1,,1,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2018,12,465,,1190,,1396,,10154,,15481,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2018,12,79,,95,,154,,1194,,1234,,,-,0,,3,,1,,3,,"MONTANA
(47.062617, -109.430168)",
RHODE ISLAND,2018,12,43,,88,,538,,518,,498,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PACIFIC,2018,12,1232,,5516,,6003,,56700,,65639,,18,,104,,176,,732,,964,,,
RHODE ISLAND,2018,13,66,,91,,538,,654,,583,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2018,13,53,,321,,405,,3065,,4418,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
PACIFIC,2018,13,1247,,5510,,6004,,62101,,70856,,9,,107,,194,,812,,1039,,,
MID. ATLANTIC,2018,13,2973,,4092,,4510,,50310,,58116,,,-,0,,0,,,-,,-,,
DELAWARE,2018,13,,-,101,,155,,1151,,1416,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2018,13,,-,147,,643,,,-,3220,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK,2018,13,938,,895,,1698,,11054,,10167,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
NEW MEXICO,2018,13,68,,243,,465,,1982,,3272,,,-,0,,3,,10,,1,,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2018,13,,-,78,,102,,660,,1136,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
WISCONSIN,2018,13,,-,542,,639,,5236,,7164,,,-,0,,1,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2018,13,174,,265,,314,,3095,,3300,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
TEXAS,2018,13,,-,2822,,3722,,25015,,38760,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
PENNSYLVANIA,2018,13,850,,1097,,1275,,13590,,20929,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW ENGLAND,2018,13,128,,1013,,1705,,8166,,14398,,,-,0,,1,,1,,1,,,
NORTH DAKOTA,2018,13,,-,63,,79,,675,,713,,,-,0,,1,,,-,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2018,13,612,,683,,1379,,8084,,7840,,,-,0,,2,,4,,1,,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK CITY,2018,13,856,,1422,,1599,,17357,,18263,,,N,0,,0,,,N,,N,,
ARKANSAS,2018,13,64,,230,,944,,96,,2844,,,-,0,,2,,3,,1,,"ARKANSAS
(34.748745, -92.275105)",
