"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,New York,2020,19,356,0,0,0,0,0
States,Colorado,2020,20,494,0,0,0,0,0
States,New York,2020,20,375,0,0,0,0,0
States,Colorado,2020,21,450,0,0,0,0,0
States,New York,2020,21,288,0,0,0,0,0
States,Colorado,2020,22,365,1,0,0.27,0.27,0
States,New York,2020,22,278,0,0,0,0,0
States,Colorado,2020,23,302,0,0,0,0,0
States,New York,2020,23,309,0,0,0,0,0
States,Colorado,2020,24,277,0,0,0,0,0
States,New York,2020,24,356,0,1,0.28,0,0.28
States,Colorado,2020,25,248,0,0,0,0,0
States,New York,2020,25,297,0,0,0,0,0
States,Colorado,2020,26,286,0,0,0,0,0
States,New York,2020,26,325,0,0,0,0,0
States,Colorado,2020,27,265,0,0,0,0,0
States,New York,2020,27,301,0,0,0,0,0
States,Colorado,2020,28,213,0,0,0,0,0
States,New York,2020,28,399,0,0,0,0,0
States,Colorado,2020,29,401,0,0,0,0,0
States,New York,2020,29,409,0,0,0,0,0
States,Colorado,2020,30,710,0,0,0,0,0
States,New York,2020,30,430,0,0,0,0,0
States,Colorado,2020,31,601,0,0,0,0,0
States,New York,2020,31,426,0,0,0,0,0
States,Colorado,2020,32,630,0,0,0,0,0
States,New York,2020,32,395,0,0,0,0,0
States,Colorado,2020,33,578,0,0,0,0,0
States,New York,2020,33,457,0,0,0,0,0
States,Colorado,2020,34,509,0,0,0,0,0
States,New York,2020,34,584,0,0,0,0,0
States,Colorado,2020,35,479,0,0,0,0,0
States,New York,2020,35,527,0,0,0,0,0
States,Colorado,2020,36,464,0,0,0,0,0
States,New York,2020,36,544,0,0,0,0,0
States,Colorado,2020,37,682,0,0,0,0,0
States,New York,2020,37,591,0,0,0,0,0
States,Colorado,2020,38,805,0,1,0.12,0,0.12
States,New York,2020,38,673,2,1,0.45,0.3,0.15
States,Colorado,2020,39,843,0,0,0,0,0
States,New York,2020,39,677,0,0,0,0,0
States,Colorado,2020,40,960,0,0,0,0,0
States,New York,2020,40,857,0,0,0,0,0
States,Colorado,2020,41,1127,0,0,0,0,0
States,New York,2020,41,1197,0,0,0,0,0
States,Colorado,2020,42,1150,2,1,0.26,0.17,0.09
States,New York,2020,42,1471,1,3,0.27,0.07,0.2
States,Colorado,2020,43,1309,1,0,0.08,0.08,0
States,New York,2020,43,1403,1,2,0.21,0.07,0.14
States,Colorado,2020,44,2021,0,1,0.05,0,0.05
States,New York,2020,44,1694,0,0,0,0,0
States,Colorado,2020,45,2962,0,0,0,0,0
States,New York,2020,45,2124,2,0,0.09,0.09,0
States,Colorado,2020,46,3114,0,0,0,0,0
States,New York,2020,46,2879,1,0,0.03,0.03,0
States,Colorado,2020,47,2642,0,1,0.04,0,0.04
States,New York,2020,47,3648,0,1,0.03,0,0.03
States,Colorado,2020,48,2090,0,0,0,0,0
States,New York,2020,48,3080,0,1,0.03,0,0.03
States,Colorado,2020,49,3616,0,2,0.06,0,0.06
States,New York,2020,49,4546,0,0,0,0,0
States,Colorado,2020,50,1913,0,1,0.05,0,0.05
States,New York,2020,50,3755,1,2,0.08,0.03,0.05
States,Colorado,2020,51,1719,0,0,0,0,0
States,New York,2020,51,3854,0,0,0,0,0
States,Colorado,2020,52,1459,0,0,0,0,0
States,New York,2020,52,3770,1,1,0.05,0.03,0.03
States,Colorado,2020,53,1510,0,1,0.07,0,0.07
States,New York,2020,53,4079,1,1,0.05,0.02,0.02
States,Colorado,2021,1,1497,0,0,0,0,0
States,New York,2021,1,4690,1,1,0.04,0.02,0.02
States,Colorado,2021,2,1347,0,0,0,0,0
States,New York,2021,2,3974,0,0,0,0,0
States,Colorado,2021,3,1310,0,0,0,0,0
States,New York,2021,3,3710,1,0,0.03,0.03,0
States,Colorado,2021,4,1270,0,0,0,0,0
States,New York,2021,4,3016,0,0,0,0,0
States,Colorado,2021,5,1172,0,0,0,0,0
States,New York,2021,5,3495,0,0,0,0,0
States,Colorado,2021,6,1167,0,0,0,0,0
States,New York,2021,6,3314,0,0,0,0,0
States,Colorado,2021,7,1319,0,0,0,0,0
States,New York,2021,7,3209,0,0,0,0,0
States,Colorado,2021,8,1101,1,0,0.09,0.09,0
States,New York,2021,8,3566,0,1,0.03,0,0.03
States,Colorado,2021,9,881,0,0,0,0,0
States,New York,2021,9,3378,0,0,0,0,0
States,Colorado,2021,10,1131,0,0,0,0,0
States,New York,2021,10,3282,0,0,0,0,0
States,Colorado,2021,11,1135,0,0,0,0,0
States,New York,2021,11,3346,0,1,0.03,0,0.03
States,Colorado,2021,12,1259,0,0,0,0,0
States,New York,2021,12,3269,0,0,0,0,0
States,Colorado,2021,13,1131,0,0,0,0,0
States,New York,2021,13,3432,0,0,0,0,0
States,Colorado,2021,14,1188,0,0,0,0,0
States,New York,2021,14,3698,0,0,0,0,0
States,Colorado,2021,15,1242,0,0,0,0,0
States,New York,2021,15,3887,0,1,0.03,0,0.03
States,Colorado,2021,16,1302,0,0,0,0,0
States,New York,2021,16,3777,0,0,0,0,0
States,Colorado,2021,17,1379,0,0,0,0,0
States,New York,2021,17,3927,0,0,0,0,0
States,Colorado,2021,18,1233,0,0,0,0,0
States,New York,2021,18,3908,0,0,0,0,0
States,Colorado,2021,19,1313,0,0,0,0,0
States,New York,2021,19,3276,0,0,0,0,0
States,Colorado,2021,20,1203,0,0,0,0,0
States,New York,2021,20,3576,0,0,0,0,0
States,Colorado,2021,21,1127,0,1,0.09,0,0.09
States,New York,2021,21,3384,0,0,0,0,0
States,Colorado,2021,22,1093,0,0,0,0,0
States,New York,2021,22,2931,0,0,0,0,0
States,Colorado,2021,23,720,0,0,0,0,0
States,New York,2021,23,2726,0,1,0.04,0,0.04
States,Colorado,2021,24,417,0,0,0,0,0
States,New York,2021,24,2736,0,0,0,0,0
States,Colorado,2021,25,468,0,0,0,0,0
States,New York,2021,25,2804,1,1,0.07,0.04,0.04
States,Colorado,2021,26,424,0,0,0,0,0
States,New York,2021,26,2697,0,1,0.04,0,0.04
States,Colorado,2021,27,448,0,0,0,0,0
States,New York,2021,27,1953,1,0,0.05,0.05,0
States,Colorado,2021,28,576,0,0,0,0,0
States,New York,2021,28,2693,0,0,0,0,0
States,Colorado,2021,29,573,0,0,0,0,0
States,New York,2021,29,3003,0,0,0,0,0
States,Colorado,2021,30,592,0,0,0,0,0
States,New York,2021,30,3086,0,0,0,0,0
States,Colorado,2021,31,617,0,0,0,0,0
States,New York,2021,31,3353,0,0,0,0,0
States,Colorado,2021,32,717,0,0,0,0,0
States,New York,2021,32,3731,0,0,0,0,0
States,Colorado,2021,33,842,0,0,0,0,0
States,New York,2021,33,3778,2,0,0.05,0.05,0
States,Colorado,2021,34,1020,1,1,0.2,0.1,0.1
States,New York,2021,34,4273,0,0,0,0,0
States,Colorado,2021,35,1029,0,0,0,0,0
States,New York,2021,35,4156,1,0,0.02,0.02,0
States,Colorado,2021,36,863,0,0,0,0,0
States,New York,2021,36,4012,1,0,0.02,0.02,0
States,Colorado,2021,37,858,0,0,0,0,0
States,New York,2021,37,4412,1,1,0.05,0.02,0.02
States,Colorado,2021,38,855,0,0,0,0,0
States,New York,2021,38,4822,0,0,0,0,0
States,Colorado,2021,39,926,0,0,0,0,0
States,New York,2021,39,4936,2,1,0.06,0.04,0.02
States,Colorado,2021,40,1106,0,0,0,0,0
States,New York,2021,40,4913,3,2,0.1,0.06,0.04
States,Colorado,2021,41,925,0,0,0,0,0
States,New York,2021,41,4537,4,2,0.13,0.09,0.04
States,Colorado,2021,42,1637,1,0,0.06,0.06,0
States,New York,2021,42,4535,2,4,0.13,0.04,0.09
States,Colorado,2021,43,1136,1,1,0.18,0.09,0.09
States,New York,2021,43,4825,1,2,0.06,0.02,0.04
States,Colorado,2021,44,1743,0,0,0,0,0
States,New York,2021,44,4981,14,1,0.3,0.28,0.02
States,Colorado,2021,45,2314,5,1,0.26,0.22,0.04
States,New York,2021,45,5471,34,2,0.66,0.62,0.04
States,Colorado,2021,46,2375,13,0,0.55,0.55,0
States,New York,2021,46,5207,53,7,1.15,1.02,0.13
States,Colorado,2021,47,2194,9,1,0.46,0.41,0.05
States,New York,2021,47,4864,59,0,1.21,1.21,0
States,Colorado,2021,48,2524,32,0,1.27,1.27,0
States,New York,2021,48,6106,172,3,2.87,2.82,0.05
States,Colorado,2021,49,2438,45,0,1.85,1.85,0
States,New York,2021,49,6380,272,1,4.28,4.26,0.02
States,Colorado,2021,50,2167,63,0,2.91,2.91,0
States,New York,2021,50,6579,405,2,6.19,6.16,0.03
States,Colorado,2021,51,2419,94,0,3.89,3.89,0
States,New York,2021,51,7947,334,3,4.24,4.2,0.04
States,Colorado,2021,52,3157,72,0,2.28,2.28,0
States,New York,2021,52,9437,250,6,2.71,2.65,0.06
States,Colorado,2022,1,2969,49,0,1.65,1.65,0
States,New York,2022,1,9711,126,2,1.32,1.3,0.02
States,Colorado,2022,2,2457,23,1,0.98,0.94,0.04
States,New York,2022,2,8165,50,0,0.61,0.61,0
States,Colorado,2022,3,1938,23,1,1.24,1.19,0.05
States,New York,2022,3,6000,31,2,0.55,0.52,0.03
States,Colorado,2022,4,1814,17,0,0.94,0.94,0
States,New York,2022,4,5096,21,0,0.41,0.41,0
States,Colorado,2022,5,1698,20,0,1.18,1.18,0
States,New York,2022,5,4493,31,1,0.71,0.69,0.02
States,Colorado,2022,6,3027,17,0,0.56,0.56,0
States,New York,2022,6,4704,28,1,0.62,0.6,0.02
States,Colorado,2022,7,1647,27,0,1.64,1.64,0
States,New York,2022,7,4544,40,0,0.88,0.88,0
States,Colorado,2022,8,1493,38,0,2.55,2.55,0
States,New York,2022,8,4257,46,0,1.08,1.08,0
States,Colorado,2022,9,1566,52,0,3.32,3.32,0
States,New York,2022,9,4663,69,0,1.48,1.48,0
States,Colorado,2022,10,1477,61,0,4.13,4.13,0
States,New York,2022,10,4774,107,0,2.24,2.24,0
States,Colorado,2022,11,1317,74,0,5.62,5.62,0
States,New York,2022,11,5158,204,0,3.96,3.96,0
States,Colorado,2022,12,1357,75,0,5.53,5.53,0
States,New York,2022,12,5765,394,0,6.83,6.83,0
States,Colorado,2022,13,1357,130,0,9.58,9.58,0
States,New York,2022,13,6460,573,0,8.87,8.87,0
States,Colorado,2022,14,1271,111,0,8.73,8.73,0
States,New York,2022,14,7289,878,0,12.05,12.05,0
States,Colorado,2022,15,1436,145,0,10.1,10.1,0
States,New York,2022,15,7021,865,0,12.32,12.32,0
States,Colorado,2022,16,1448,158,0,10.91,10.91,0
States,New York,2022,16,7434,622,0,8.37,8.37,0
States,Colorado,2022,17,1799,196,0,10.89,10.89,0
States,New York,2022,17,7058,519,0,7.35,7.35,0
States,Colorado,2022,18,1778,222,0,12.49,12.49,0
States,New York,2022,18,7045,580,0,8.23,8.23,0
States,Colorado,2022,19,1633,128,1,7.9,7.84,0.06
States,New York,2022,19,6975,454,0,6.51,6.51,0
States,Colorado,2022,20,2432,134,0,5.51,5.51,0
States,New York,2022,20,6599,373,0,5.65,5.65,0
States,Colorado,2022,21,1276,126,0,9.87,9.87,0
States,New York,2022,21,6143,253,5,4.2,4.12,0.08
States,Colorado,2022,22,1817,81,0,4.46,4.46,0
States,New York,2022,22,5469,157,0,2.87,2.87,0
States,Colorado,2022,23,1711,46,0,2.69,2.69,0
States,New York,2022,23,5475,65,1,1.21,1.19,0.02
States,Colorado,2022,24,1510,10,0,0.66,0.66,0
States,New York,2022,24,5036,51,0,1.01,1.01,0
States,Colorado,2022,25,1533,8,0,0.52,0.52,0
States,New York,2022,25,4937,29,0,0.59,0.59,0
States,Colorado,2022,26,1436,4,0,0.28,0.28,0
States,New York,2022,26,4932,22,0,0.45,0.45,0
States,Colorado,2022,27,1523,3,0,0.2,0.2,0
States,New York,2022,27,4891,13,0,0.27,0.27,0
States,Colorado,2022,28,1302,0,0,0,0,0
States,New York,2022,28,4818,12,1,0.27,0.25,0.02
States,Colorado,2022,29,1436,1,0,0.07,0.07,0
States,New York,2022,29,4898,5,0,0.1,0.1,0
States,Colorado,2022,30,1247,2,0,0.16,0.16,0
States,New York,2022,30,4837,7,0,0.14,0.14,0
States,Colorado,2022,31,1237,3,1,0.32,0.24,0.08
States,New York,2022,31,4779,6,1,0.15,0.13,0.02
States,Colorado,2022,32,1202,2,0,0.17,0.17,0
States,New York,2022,32,4526,8,0,0.18,0.18,0
States,Colorado,2022,33,1225,1,0,0.08,0.08,0
States,New York,2022,33,4266,13,0,0.3,0.3,0
States,Colorado,2022,34,1826,1,0,0.05,0.05,0
States,New York,2022,34,4178,8,0,0.19,0.19,0
States,Colorado,2022,35,1424,0,0,0,0,0
States,New York,2022,35,4156,13,0,0.31,0.31,0
States,Colorado,2022,36,1408,3,1,0.28,0.21,0.07
States,New York,2022,36,4353,13,0,0.3,0.3,0
States,Colorado,2022,37,1346,0,0,0,0,0
States,New York,2022,37,4951,20,0,0.4,0.4,0
States,Colorado,2022,38,1601,2,0,0.12,0.12,0
States,New York,2022,38,5574,20,0,0.36,0.36,0
States,Colorado,2022,39,1365,0,0,0,0,0
States,New York,2022,39,5776,16,2,0.31,0.28,0.03
States,Colorado,2022,40,1416,2,0,0.14,0.14,0
States,New York,2022,40,6126,22,1,0.38,0.36,0.02
States,Colorado,2022,41,1345,8,1,0.67,0.59,0.07
States,New York,2022,41,6531,48,1,0.75,0.73,0.02
States,Colorado,2022,42,1265,21,2,1.82,1.66,0.16
States,New York,2022,42,7007,94,1,1.36,1.34,0.01
States,Colorado,2022,43,1564,36,0,2.3,2.3,0
States,New York,2022,43,7678,294,1,3.84,3.83,0.01
States,Colorado,2022,44,1993,114,1,5.77,5.72,0.05
States,New York,2022,44,8503,568,3,6.72,6.68,0.04
States,Colorado,2022,45,2269,171,1,7.58,7.54,0.04
States,New York,2022,45,9557,1022,5,10.75,10.69,0.05
States,Colorado,2022,46,2970,445,0,14.98,14.98,0
States,New York,2022,46,9691,1455,1,15.02,15.01,0.01
States,Colorado,2022,47,3012,567,1,18.86,18.82,0.03
States,New York,2022,47,9797,2478,2,25.31,25.29,0.02
States,Colorado,2022,48,3006,693,1,23.09,23.05,0.03
States,New York,2022,48,12228,3274,1,26.78,26.77,0.01
States,Colorado,2022,49,2992,770,5,25.9,25.74,0.17
States,New York,2022,49,11621,3103,5,26.74,26.7,0.04
States,Colorado,2022,50,3058,752,3,24.69,24.59,0.1
States,New York,2022,50,11231,2735,2,24.37,24.35,0.02
States,Colorado,2022,51,2487,549,4,22.24,22.07,0.16
States,New York,2022,51,9917,2062,3,20.82,20.79,0.03
States,Colorado,2022,52,2509,466,5,18.77,18.57,0.2
States,New York,2022,52,8440,1243,4,14.77,14.73,0.05
States,Colorado,2023,1,2020,235,4,11.83,11.63,0.2
States,New York,2023,1,8468,713,6,8.49,8.42,0.07
States,Colorado,2023,2,1716,121,2,7.17,7.05,0.12
States,New York,2023,2,7868,270,11,3.57,3.43,0.14
States,Colorado,2023,3,1598,80,4,5.26,5.01,0.25
States,New York,2023,3,6930,143,10,2.21,2.06,0.14
States,Colorado,2023,4,1510,55,2,3.77,3.64,0.13
States,New York,2023,4,7138,70,22,1.29,0.98,0.31
States,Colorado,2023,5,1534,35,5,2.61,2.28,0.33
States,New York,2023,5,7084,44,18,0.88,0.62,0.25
States,Colorado,2023,6,1106,26,4,2.71,2.35,0.36
States,New York,2023,6,7463,43,36,1.06,0.58,0.48
States,Colorado,2023,7,1601,18,10,1.75,1.12,0.62
States,New York,2023,7,7362,36,25,0.83,0.49,0.34
States,Colorado,2023,8,1610,19,3,1.37,1.18,0.19
States,New York,2023,8,6634,39,22,0.92,0.59,0.33
States,Colorado,2023,9,1099,14,5,1.73,1.27,0.45
States,New York,2023,9,6655,30,23,0.8,0.45,0.35
States,Colorado,2023,10,1485,9,8,1.14,0.61,0.54
States,New York,2023,10,6489,39,32,1.09,0.6,0.49
States,Colorado,2023,11,1422,10,10,1.41,0.7,0.7
States,New York,2023,11,6179,37,30,1.08,0.6,0.49
States,Colorado,2023,12,1451,7,7,0.96,0.48,0.48
States,New York,2023,12,5835,41,21,1.06,0.7,0.36
