REGION,YEAR,WEEK,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max† ","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis B, perinatal infection, Cum 2018†","Hepatitis B, perinatal infection, Cum 2018†, flag","Hepatitis C (viral, acute)§, Confirmed, Current week","Hepatitis C (viral, acute)§, Confirmed, Current week, flag","Hepatitis C (viral, acute), Confirmed, Previous 52 weeks Max","Hepatitis C (viral, acute)§, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†, flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†, flag","Hepatitis C (viral, acute)§,  Probable, Current week","Hepatitis C (viral, acute)§, Probable, Current week, flag","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† ","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Probable, Cum 2019†","Hepatitis C (viral, acute)§, Probable, Cum 2019†, flag","Hepatitis C (viral, acute)§, Probable, Cum 2018†","Hepatitis C (viral, acute)§, Probable, Cum 2018†, flag",Location 1,Location 2,,,,
DELAWARE,2021,36,,-,0,,,-,,-,1,,4,,44,,37,,,-,1,,1,,1,,DELAWARE,,20213629,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,36,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20213630,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,36,,-,0,,,-,,-,,-,115,,741,,1051,,,-,23,,200,,281,,FLORIDA,,20213631,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,36,,-,0,,,-,1,,,-,5,,38,,81,,,-,3,,30,,55,,GEORGIA,,20213632,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,36,,-,0,,,-,1,,1,,4,,33,,34,,,-,1,,4,,8,,MARYLAND,,20213633,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,36,,-,1,,1,,,-,,-,3,,9,,54,,,-,2,,2,,18,,NORTH CAROLINA,,20213634,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,36,,-,0,,,-,,-,,-,1,,2,,4,,,-,1,,2,,1,,SOUTH CAROLINA,,20213635,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,36,,-,1,,1,,1,,,-,3,,15,,25,,,-,3,,11,,15,,VIRGINIA,,20213636,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,36,,-,1,,,-,,-,,-,4,,23,,79,,,-,1,,6,,40,,WEST VIRGINIA,,20213637,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,36,,-,1,,,-,,-,,-,20,,239,,277,,,-,10,,194,,137,,,EAST SOUTH CENTRAL,20213638,,,
ALABAMA,2021,36,,-,1,,,-,,-,,-,4,,1,,33,,,-,1,,5,,4,,ALABAMA,,20213639,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,36,,-,0,,,-,,-,,-,16,,138,,104,,,-,7,,91,,85,,KENTUCKY,,20213640,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,36,,-,0,,,-,,-,,-,2,,3,,31,,,-,4,,32,,11,,MISSISSIPPI,,20213641,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,36,,-,0,,,-,,-,,-,7,,97,,109,,,-,5,,66,,37,,TENNESSEE,,20213642,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,36,,-,1,,,-,2,,5,,193,,399,,268,,,-,14,,28,,56,,,WEST SOUTH CENTRAL,20213643,,,
ARKANSAS,2021,36,,-,0,,,-,,-,,-,5,,23,,39,,,-,8,,14,,38,,ARKANSAS,,20213644,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,36,,-,1,,,-,1,,4,,191,,355,,213,,,-,1,,2,,2,,LOUISIANA,,20213645,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,36,,-,0,,,-,,-,1,,9,,10,,6,,,-,11,,8,,5,,OKLAHOMA,,20213646,POINT (-97.508297 35.583449),712,20
TEXAS,2021,36,,-,0,,,-,1,,,-,3,,11,,10,,,-,2,,4,,11,,TEXAS,,20213647,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,36,,-,0,,,-,,-,1,,7,,102,,109,,3,,9,,76,,39,,,MOUNTAIN,20213648,,,
ARIZONA,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20213649,POINT (-111.664616 34.293239),987,7
COLORADO,2021,36,,-,0,,,-,,-,,-,1,,2,,9,,,-,1,,1,,,-,COLORADO,,20213650,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,36,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,1,,IDAHO,,20213651,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,36,,-,0,,,-,,-,,-,3,,16,,9,,,-,1,,3,,1,,MONTANA,,20213652,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,36,,-,0,,,-,,-,,-,1,,2,,8,,,-,0,,,-,4,,NEVADA,,20213653,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,36,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20213654,POINT (-106.108388 34.421369),616,11
UTAH,2021,36,,-,0,,,-,,-,1,,7,,80,,81,,3,,8,,72,,33,,UTAH,,20213655,POINT (-111.678222 39.323779),900,13
WYOMING,2021,36,,-,0,,,-,,-,,-,1,,2,,,-,,-,0,,,-,,-,WYOMING,,20213656,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,36,,-,1,,2,,,-,,-,7,,97,,134,,,-,5,,35,,23,,,PACIFIC,20213657,,,
ALASKA,2021,36,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20213658,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,36,,-,1,,1,,,-,,-,3,,23,,50,,,-,4,,20,,9,,CALIFORNIA,,20213659,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20213660,POINT (-157.854309 21.361013),1657,4
OREGON,2021,36,,-,0,,,-,,-,,-,3,,15,,17,,,-,1,,6,,4,,OREGON,,20213661,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,36,,-,1,,1,,,-,,-,5,,59,,66,,,-,2,,9,,10,,WASHINGTON,,20213662,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,36,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,,US TERRITORIES,20213663,,,
AMERICAN SAMOA,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20213664,,,
NORTHERN MARIANA ISLANDS,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20213665,POINT (145.725693 15.1834),,
GUAM,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20213666,POINT (144.653198 13.3532),,
PUERTO RICO,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20213667,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,36,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,VIRGIN ISLANDS,,20213668,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20213669,,,
TOTAL,2021,36,,-,3,,11,,8,,9,,257,,2575,,3388,,3,,39,,726,,857,,,TOTAL,20213670,,,
US RESIDENTS,2021,37,,-,3,,11,,9,,9,,258,,2688,,3565,,6,,39,,736,,870,,,US RESIDENTS,20213701,,,
NEW ENGLAND,2021,37,,-,1,,1,,,-,,-,8,,112,,261,,1,,4,,34,,57,,,NEW ENGLAND,20213702,,,
CONNECTICUT,2021,37,,-,0,,,-,,-,,-,2,,10,,10,,,-,0,,,-,,-,CONNECTICUT,,20213703,POINT (-72.738288 41.575155),1043,24
MAINE,2021,37,,-,1,,1,,,-,,-,7,,91,,117,,1,,4,,27,,36,,MAINE,,20213704,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,37,,-,0,,,-,,-,,-,5,,8,,128,,,-,1,,,-,6,,MASSACHUSETTS,,20213705,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,37,,-,0,,,-,,-,,-,1,,3,,5,,,-,1,,7,,15,,NEW HAMPSHIRE,,20213706,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,37,,U,,NC,,U,,U,,U,,NC,,U,,U,,U,,NC,,U,,U,RHODE ISLAND,,20213707,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,37,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,VERMONT,,20213708,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,37,,-,3,,4,,1,,1,,187,,385,,425,,,-,7,,26,,19,,,MIDDLE ATLANTIC,20213709,,,
NEW JERSEY,2021,37,,-,0,,,-,,-,,-,4,,48,,87,,,-,1,,1,,5,,NEW JERSEY,,20213710,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,37,,-,1,,1,,,-,,-,25,,69,,103,,,-,7,,21,,14,,NEW YORK,,20213711,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,37,,-,0,,,-,,-,,-,180,,180,,125,,,-,0,,,-,,-,,NEW YORK CITY,20213712,,,
PENNSYLVANIA,2021,37,,-,3,,3,,1,,1,,9,,88,,110,,,-,1,,4,,,-,PENNSYLVANIA,,20213713,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,37,,-,1,,2,,2,,,-,35,,361,,610,,,-,7,,72,,95,,,EAST NORTH CENTRAL,20213714,,,
ILLINOIS,2021,37,,-,0,,,-,,-,,-,8,,98,,149,,,-,2,,15,,20,,ILLINOIS,,20213715,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,37,,-,1,,,-,,-,,-,20,,108,,158,,,-,5,,23,,10,,INDIANA,,20213716,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,37,,-,0,,,-,,-,,-,5,,72,,83,,,-,2,,13,,18,,MICHIGAN,,20213717,POINT (-85.730977 44.874798),1262,50
OHIO,2021,37,,-,1,,2,,1,,,-,7,,51,,150,,,-,2,,20,,44,,OHIO,,20213718,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,37,,-,0,,,-,1,,,-,4,,32,,70,,,-,1,,1,,3,,WISCONSIN,,20213719,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,37,,-,0,,,-,,-,,-,7,,65,,87,,,-,1,,5,,8,,,WEST NORTH CENTRAL,20213720,,,
IOWA,2021,37,,-,0,,,-,,-,,-,2,,11,,11,,,-,0,,,-,,-,IOWA,,20213721,POINT (-93.500061 42.074659),299,16
KANSAS,2021,37,,-,0,,,-,,-,,-,1,,1,,8,,,-,1,,3,,2,,KANSAS,,20213722,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,37,,-,0,,,-,,-,,-,5,,33,,43,,,-,1,,2,,2,,MINNESOTA,,20213723,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,37,,-,0,,,-,,-,,-,1,,5,,17,,,-,0,,,-,,-,MISSOURI,,20213724,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,37,,-,0,,,-,,-,,-,2,,8,,4,,,-,0,,,-,2,,NEBRASKA,,20213725,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20213726,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,37,,-,0,,,-,,-,,-,2,,7,,4,,,-,1,,,-,2,,SOUTH DAKOTA,,20213727,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,37,,-,2,,2,,3,,2,,118,,908,,1392,,1,,26,,257,,430,,,SOUTH ATLANTIC,20213728,,,
DELAWARE,2021,37,,-,0,,,-,,-,2,,4,,46,,37,,,-,1,,1,,1,,DELAWARE,,20213729,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,37,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20213730,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,37,,-,0,,,-,,-,,-,115,,741,,1075,,,-,23,,200,,287,,FLORIDA,,20213731,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,37,,-,0,,,-,1,,,-,5,,38,,81,,,-,3,,30,,58,,GEORGIA,,20213732,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,37,,-,0,,,-,1,,,-,4,,34,,35,,1,,1,,5,,9,,MARYLAND,,20213733,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,37,,-,1,,1,,,-,,-,3,,9,,56,,,-,2,,2,,18,,NORTH CAROLINA,,20213734,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,37,,-,0,,,-,,-,,-,1,,2,,4,,,-,1,,2,,2,,SOUTH CAROLINA,,20213735,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,37,,-,1,,1,,1,,,-,3,,15,,25,,,-,3,,11,,15,,VIRGINIA,,20213736,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,37,,-,1,,,-,,-,,-,4,,23,,79,,,-,1,,6,,40,,WEST VIRGINIA,,20213737,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,37,,-,1,,,-,,-,2,,20,,248,,283,,1,,10,,196,,140,,,EAST SOUTH CENTRAL,20213738,,,
ALABAMA,2021,37,,-,1,,,-,,-,1,,4,,4,,34,,,-,1,,8,,4,,ALABAMA,,20213739,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,37,,-,0,,,-,,-,,-,16,,139,,108,,,-,7,,91,,86,,KENTUCKY,,20213740,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,37,,-,0,,,-,,-,,-,2,,3,,31,,,-,4,,32,,12,,MISSISSIPPI,,20213741,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,37,,-,0,,,-,,-,1,,7,,102,,110,,1,,5,,65,,38,,TENNESSEE,,20213742,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,37,,-,0,,,-,3,,2,,193,,403,,258,,1,,14,,33,,57,,,WEST SOUTH CENTRAL,20213743,,,
ARKANSAS,2021,37,,-,0,,,-,,-,,-,5,,23,,43,,,-,8,,18,,38,,ARKANSAS,,20213744,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,37,,-,0,,,-,2,,2,,191,,359,,199,,,-,1,,2,,2,,LOUISIANA,,20213745,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,37,,-,0,,,-,,-,,-,9,,10,,6,,1,,11,,9,,5,,OKLAHOMA,,20213746,POINT (-97.508297 35.583449),712,20
TEXAS,2021,37,,-,0,,,-,1,,,-,3,,11,,10,,,-,2,,4,,12,,TEXAS,,20213747,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,37,,-,0,,,-,,-,2,,7,,105,,110,,2,,9,,78,,40,,,MOUNTAIN,20213748,,,
ARIZONA,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20213749,POINT (-111.664616 34.293239),987,7
COLORADO,2021,37,,-,0,,,-,,-,,-,1,,2,,9,,,-,1,,1,,,-,COLORADO,,20213750,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,37,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,1,,IDAHO,,20213751,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,37,,-,0,,,-,,-,,-,3,,16,,10,,,-,1,,3,,1,,MONTANA,,20213752,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,37,,-,0,,,-,,-,,-,1,,2,,8,,,-,0,,,-,4,,NEVADA,,20213753,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,37,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20213754,POINT (-106.108388 34.421369),616,11
UTAH,2021,37,,-,0,,,-,,-,2,,7,,83,,81,,2,,8,,74,,34,,UTAH,,20213755,POINT (-111.678222 39.323779),900,13
WYOMING,2021,37,,-,0,,,-,,-,,-,1,,2,,,-,,-,0,,,-,,-,WYOMING,,20213756,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,37,,-,1,,2,,,-,,-,7,,101,,139,,,-,5,,35,,24,,,PACIFIC,20213757,,,
ALASKA,2021,37,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20213758,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,37,,-,1,,1,,,-,,-,3,,23,,51,,,-,4,,20,,9,,CALIFORNIA,,20213759,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20213760,POINT (-157.854309 21.361013),1657,4
OREGON,2021,37,,-,0,,,-,,-,,-,3,,15,,17,,,-,2,,6,,4,,OREGON,,20213761,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,37,,-,1,,1,,,-,,-,5,,63,,70,,,-,2,,9,,11,,WASHINGTON,,20213762,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,37,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,,US TERRITORIES,20213763,,,
AMERICAN SAMOA,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20213764,,,
NORTHERN MARIANA ISLANDS,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20213765,POINT (145.725693 15.1834),,
GUAM,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20213766,POINT (144.653198 13.3532),,
PUERTO RICO,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20213767,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,37,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,VIRGIN ISLANDS,,20213768,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20213769,,,
TOTAL,2021,37,,-,3,,11,,9,,9,,258,,2688,,3566,,6,,39,,736,,870,,,TOTAL,20213770,,,
US RESIDENTS,2021,38,,-,3,,11,,9,,14,,259,,2782,,3644,,2,,40,,755,,893,,,US RESIDENTS,20213801,,,
NEW ENGLAND,2021,38,,-,1,,1,,,-,,-,8,,117,,264,,,-,4,,34,,60,,,NEW ENGLAND,20213802,,,
CONNECTICUT,2021,38,,-,0,,,-,,-,,-,2,,10,,10,,,-,0,,,-,,-,CONNECTICUT,,20213803,POINT (-72.738288 41.575155),1043,24
MAINE,2021,38,,-,1,,1,,,-,,-,7,,95,,119,,,-,4,,26,,37,,MAINE,,20213804,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,38,,-,0,,,-,,-,,-,5,,9,,129,,,-,1,,,-,7,,MASSACHUSETTS,,20213805,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,38,,-,0,,,-,,-,,-,1,,3,,5,,,-,1,,8,,16,,NEW HAMPSHIRE,,20213806,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,38,,U,,NC,,U,,U,,U,,NC,,U,,U,,U,,NC,,U,,U,RHODE ISLAND,,20213807,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,38,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,VERMONT,,20213808,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,38,,-,3,,4,,1,,,-,187,,386,,434,,,-,7,,26,,19,,,MIDDLE ATLANTIC,20213809,,,
NEW JERSEY,2021,38,,-,0,,,-,,-,,-,4,,48,,87,,,-,1,,1,,5,,NEW JERSEY,,20213810,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,38,,-,1,,1,,,-,,-,25,,69,,107,,,-,7,,21,,14,,NEW YORK,,20213811,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,38,,-,0,,,-,,-,,-,180,,180,,129,,,-,0,,,-,,-,,NEW YORK CITY,20213812,,,
PENNSYLVANIA,2021,38,,-,3,,3,,1,,,-,9,,89,,111,,,-,1,,4,,,-,PENNSYLVANIA,,20213813,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,38,,-,1,,2,,2,,,-,35,,368,,629,,,-,7,,73,,97,,,EAST NORTH CENTRAL,20213814,,,
ILLINOIS,2021,38,,-,0,,,-,,-,,-,8,,98,,151,,,-,2,,15,,18,,ILLINOIS,,20213815,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,38,,-,1,,,-,,-,,-,20,,113,,166,,,-,5,,23,,11,,INDIANA,,20213816,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,38,,-,0,,,-,,-,,-,5,,72,,85,,,-,2,,13,,19,,MICHIGAN,,20213817,POINT (-85.730977 44.874798),1262,50
OHIO,2021,38,,-,1,,2,,1,,,-,7,,52,,155,,,-,2,,21,,46,,OHIO,,20213818,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,38,,-,0,,,-,1,,,-,4,,33,,72,,,-,1,,1,,3,,WISCONSIN,,20213819,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,38,,-,0,,,-,,-,,-,7,,66,,89,,,-,1,,5,,8,,,WEST NORTH CENTRAL,20213820,,,
IOWA,2021,38,,-,0,,,-,,-,,-,2,,12,,11,,,-,0,,,-,,-,IOWA,,20213821,POINT (-93.500061 42.074659),299,16
KANSAS,2021,38,,-,0,,,-,,-,,-,1,,1,,8,,,-,1,,3,,2,,KANSAS,,20213822,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,38,,-,0,,,-,,-,,-,5,,33,,43,,,-,1,,2,,2,,MINNESOTA,,20213823,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,38,,-,0,,,-,,-,,-,1,,5,,19,,,-,0,,,-,,-,MISSOURI,,20213824,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,38,,-,0,,,-,,-,,-,2,,8,,4,,,-,0,,,-,2,,NEBRASKA,,20213825,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,38,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20213826,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,38,,-,0,,,-,,-,,-,2,,7,,4,,,-,1,,,-,2,,SOUTH DAKOTA,,20213827,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,38,,-,2,,2,,3,,6,,118,,968,,1428,,,-,26,,267,,439,,,SOUTH ATLANTIC,20213828,,,
DELAWARE,2021,38,,-,0,,,-,,-,,-,4,,46,,38,,,-,1,,1,,1,,DELAWARE,,20213829,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,38,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20213830,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,38,,-,0,,,-,,-,6,,115,,792,,1102,,,-,23,,207,,291,,FLORIDA,,20213831,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,38,,-,0,,,-,1,,,-,5,,38,,84,,,-,3,,30,,62,,GEORGIA,,20213832,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,38,,-,0,,,-,1,,,-,4,,34,,36,,,-,1,,4,,9,,MARYLAND,,20213833,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,38,,-,1,,1,,,-,,-,3,,17,,56,,,-,2,,5,,18,,NORTH CAROLINA,,20213834,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,38,,-,0,,,-,,-,,-,1,,2,,4,,,-,1,,2,,2,,SOUTH CAROLINA,,20213835,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,38,,-,1,,1,,1,,,-,3,,15,,25,,,-,3,,11,,16,,VIRGINIA,,20213836,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,38,,-,1,,,-,,-,,-,4,,24,,83,,,-,1,,7,,40,,WEST VIRGINIA,,20213837,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,38,,-,1,,,-,,-,5,,20,,256,,290,,1,,10,,200,,143,,,EAST SOUTH CENTRAL,20213838,,,
ALABAMA,2021,38,,-,1,,,-,,-,,-,4,,3,,34,,,-,2,,10,,4,,ALABAMA,,20213839,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,38,,-,0,,,-,,-,4,,16,,144,,114,,,-,7,,92,,87,,KENTUCKY,,20213840,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,38,,-,0,,,-,,-,,-,2,,4,,31,,1,,4,,33,,14,,MISSISSIPPI,,20213841,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,38,,-,0,,,-,,-,1,,7,,105,,111,,,-,5,,65,,38,,TENNESSEE,,20213842,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,38,,-,0,,,-,3,,3,,193,,412,,252,,1,,14,,35,,62,,,WEST SOUTH CENTRAL,20213843,,,
ARKANSAS,2021,38,,-,0,,,-,,-,,-,5,,27,,45,,,-,8,,19,,43,,ARKANSAS,,20213844,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,38,,-,0,,,-,2,,2,,191,,363,,191,,,-,1,,2,,2,,LOUISIANA,,20213845,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,38,,-,0,,,-,,-,1,,9,,11,,6,,1,,11,,10,,5,,OKLAHOMA,,20213846,POINT (-97.508297 35.583449),712,20
TEXAS,2021,38,,-,0,,,-,1,,,-,3,,11,,10,,,-,2,,4,,12,,TEXAS,,20213847,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,38,,-,0,,,-,,-,,-,7,,104,,115,,,-,9,,79,,42,,,MOUNTAIN,20213848,,,
ARIZONA,2021,38,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20213849,POINT (-111.664616 34.293239),987,7
COLORADO,2021,38,,-,0,,,-,,-,,-,1,,2,,10,,,-,1,,1,,,-,COLORADO,,20213850,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,38,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,1,,IDAHO,,20213851,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,38,,-,0,,,-,,-,,-,3,,16,,12,,,-,1,,3,,1,,MONTANA,,20213852,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,38,,-,0,,,-,,-,,-,1,,2,,9,,,-,0,,,-,4,,NEVADA,,20213853,POINT (-114.916992 39.283294),2404,10
